genes,stability
A1BG,0.6190680312525132
A1BG-AS1,0.2720424715970982
A1CF,0.08195817454762523
A2M,0.06894862363439311
A2ML1,0.06429871410187049
A4GALT,0.04415788333412825
A4GNT,-0.024914229978578152
AAAS,0.2347846514053835
AACS,0.14572340784138954
AADAC,0.009668567053633188
AADACL4,0.06842182466443289
AADAT,0.0006724982225995453
AAGAB,0.31616286092202556
AAK1,0.3056165815824265
AAMP,-0.055363084790735435
AANAT,0.04854193095156519
AARS,0.3060852538082763
AARS2,0.08486004810999984
AASDH,0.08799038765765516
AASDHPPT,0.12811151745714372
AASS,0.11299793097284529
AATF,0.27365707581858595
AATK,0.14778591370524757
ABAT,0.15709400296648726
ABCA1,0.21451416379198113
ABCA10,0.10036570797557684
ABCA11P,-0.019035080238420213
ABCA12,0.030058377398394797
ABCA13,0.10488723297781763
ABCA2,0.054515698859245794
ABCA3,-0.039309551790059856
ABCA4,0.35722714618318385
ABCA5,0.40721646537213635
ABCA6,0.576524525211012
ABCA7,0.40432481593491515
ABCA8,0.05770046583984642
ABCA9,0.344909224514832
ABCB1,0.13956625131492725
ABCB10,0.31761108234625396
ABCB11,-0.029387182016528884
ABCB4,0.0069501755181556844
ABCB5,0.022697984063693163
ABCB6,0.29791647907487523
ABCB7,0.2951257644841918
ABCB8,0.011136693037677454
ABCB9,0.16425968163824917
ABCC1,0.4312034304481587
ABCC10,0.04181261053025238
ABCC11,0.2281201035362522
ABCC12,0.6254534377093183
ABCC13,0.00023457424986078796
ABCC2,0.02226157876760394
ABCC3,0.578342790976458
ABCC4,0.3199558249908893
ABCC5,0.3597016215860937
ABCC6,0.4240129116183858
ABCC8,0.602668686749371
ABCC9,0.07373140817626837
ABCD1,0.02842742670368618
ABCD2,0.3618434440858509
ABCD3,-0.05282318304547955
ABCD4,0.18601797488151292
ABCE1,0.03451595833437671
ABCF1,-0.003024065467834249
ABCF2,0.1442315510815883
ABCF3,-0.0024092837888387204
ABCG1,0.18112280932959107
ABCG2,0.23012755246751831
ABCG4,0.4798946844434147
ABCG5,0.5286632493092701
ABCG8,0.007065517233817093
ABHD1,0.28958234925753196
ABHD10,0.0603413184652124
ABHD11,0.4483363523579321
ABHD12,0.27892227161604316
ABHD12B,0.6606691922518643
ABHD13,0.3944520837369707
ABHD14A,0.1637980964826814
ABHD14B,-0.0023282342864032117
ABHD15,0.28062613323386026
ABHD16A,0.021866032001333708
ABHD16B,-0.034618693260622516
ABHD2,0.24143656853218112
ABHD3,0.09561914042184447
