genes,stability
A1BG,0.6122819503228328
A1BG-AS1,0.28459618734494924
A1CF,0.07937649473064669
A2M,0.11931744855021881
A2ML1,-0.02792798768431195
A3GALT2,0.0012887554252757301
A4GALT,-0.026058260740068073
A4GNT,0.11208525616138215
AAAS,0.18211982088199744
AACS,0.1251807882160544
AADAC,0.00767556516539869
AADACL2,0.11102197313045699
AADACL3,-0.0634980946687257
AADACL4,0.03809754245762874
AADAT,0.18462432225072872
AAED1,0.15751540775812792
AAGAB,-0.001996500168005527
AAK1,0.26307074211403314
AAMDC,0.3043799798097845
AAMP,-0.05782770796695335
AANAT,0.06488176411352127
AAR2,0.024010831939828104
AARD,0.3166053824246161
AARS,0.2505878121291658
AARS2,0.06947887509831402
AASDH,0.2261457470863996
AASDHPPT,0.09739966406958671
AASS,0.03413490511407034
AATBC,0.1861018011916671
AATF,0.21435848564964946
AATK,0.11327080862414038
ABAT,0.05803712496207557
ABCA1,0.24077215334660937
ABCA10,0.10207809551253949
ABCA11P,-0.020812589159947256
ABCA12,0.03438787185067905
ABCA13,0.10842977543689382
ABCA2,0.04087038423553306
ABCA3,-0.03598906214400518
ABCA4,0.35710433625643423
ABCA5,0.15664972921869222
ABCA6,0.6223409348990384
ABCA7,0.36634334977661803
ABCA8,0.06498642244231294
ABCA9,0.33689814880354907
ABCB1,0.0820105144846078
ABCB10,0.0357315981614695
ABCB11,-0.03178588812745471
ABCB4,0.026190282679573403
ABCB5,0.0060834007184655415
ABCB6,0.3064637163141131
ABCB7,0.28006894021280504
ABCB8,0.007497779762247248
ABCB9,0.28875738138736645
ABCC1,0.224593849880527
ABCC10,0.01460106028328717
ABCC11,0.23078781603678925
ABCC12,0.6295205809350731
ABCC13,0.13114061978907338
ABCC2,-0.0002525598983796553
ABCC3,0.5776925733496885
ABCC4,0.3264446918349107
ABCC5,0.22664312593215316
ABCC6,0.42801518362869945
ABCC8,0.5411527060177915
ABCC9,0.07660930274520768
ABCD1,0.0283976817034411
ABCD2,0.36778061171868137
ABCD3,-0.049256685968826784
ABCD4,0.14543331692651554
ABCE1,0.08969091636148895
ABCF1,0.025496776613849168
ABCF2,0.1759736831242858
ABCF3,-0.04784891663035249
ABCG1,0.2698290252783859
ABCG2,0.15309643718542912
ABCG4,0.3653518124961581
ABCG5,0.5346024602050552
ABCG8,0.01371619314743648
ABHD1,0.34811728964317995
ABHD10,0.013089858048767423
ABHD11,-0.014221874992224225
ABHD12,0.25815641195767114
ABHD12B,0.6728933152448398
ABHD13,0.3902051605511638
ABHD14A,0.08232127436559476
ABHD14B,-0.02053176199454484
ABHD15,0.2803057830856918
ABHD16A,-0.05024621201681956
ABHD16B,-0.03736076529043397
ABHD17A,0.14808521105010078
ABHD17B,0.11137142952210928
ABHD17C,0.26380152911613397
ABHD18,0.006517775625174995
ABHD2,0.14164402660501446
ABHD3,0.3213710882569777
ABHD4,0.1837417778536617
ABHD5,0.07863032468259437
ABHD6,0.2851455619203766
ABHD8,-0.02756234686292128
ABI1,0.2946818883965207
ABI2,0.16176089444871047
ABI3,0.1693178107388341
ABI3BP,0.15628630933557966
ABL1,0.008789248391035943
ABL2,0.018585956495325778
ABLIM1,0.07772004178486966
ABLIM2,0.45371112213836656
ABLIM3,0.1041454936825391
ABO,-0.023820854707145685
ABR,0.2066667454784002
ABRA,0.050984854282960436
ABRACL,0.11472284940362343
ABRAXAS1,0.031060607679519275
ABRAXAS2,-0.060911070457280614
ABT1,0.1890550472490047
ABTB1,0.39733064273338103
ABTB2,0.5626452175313028
ACAA1,0.2582962925904596
ACAA2,0.40625027385316775
ACACA,0.06929797339624867
ACACB,-0.014053183614129475
ACAD10,-0.015359761335596538
ACAD11,0.019581046567819192
ACAD8,-0.02598074939437809
ACAD9,0.06754944137627726
ACADL,0.4699474322503609
ACADM,0.002783338166852083
ACADS,0.2820868497371322
ACADSB,-0.015925291244702714
ACADVL,0.06421152798311015
ACAN,0.8384216442995954
ACAP1,0.02002459766823094
ACAP2,-0.033626207002796865
ACAP3,0.3784280495941204
ACAT1,0.07131463641044683
ACAT2,0.3836928029173165
ACBD3,-0.06098903187204103
ACBD4,-0.0017704524030226164
ACBD5,0.09164819603839933
ACBD6,0.05698151165648724
ACBD7,0.2998734584050269
ACCS,0.182867189172652
ACCSL,-0.009580038492434113
ACD,0.07404465002551656
ACE,0.2546622465390018
ACE2,0.028435744953541127
ACER1,-0.0777270732872457
ACER2,0.06683645961323728
ACER3,0.20395821648281096
ACHE,0.3895020957336279
ACIN1,0.05102455317751799
ACKR1,0.2960351654656039
ACKR2,0.07637159654051472
ACKR3,0.4737232963497782
ACKR4,0.0012595043849853642
ACLY,0.008356857502474283
ACMSD,0.06588665640972512
ACO1,0.21123465554708157
ACO2,0.3179018334756397
ACOT11,-0.029065793520211207
ACOT12,0.43851753861954224
ACOT13,0.33471045854211107
ACOT2,0.4758951517939751
ACOT4,0.019344796871620943
ACOT6,-0.04087232396112481
ACOT7,0.07339040148084211
ACOT8,0.4260073799920157
ACOT9,0.12930329138604765
ACOX1,0.012898797452965493
ACOX2,0.35035130317559354
ACOX3,0.4624183940074543
ACOXL,0.04939773359118045
ACP1,0.39122378162546045
ACP2,-0.019938940895724327
ACP4,0.0238690011179225
ACP5,0.06847551651578523
ACP6,0.07978087962142519
ACP7,0.0817776966099773
ACPP,0.19747739988068355
ACR,0.23892643867126848
ACRBP,-0.013775497610677038
ACRV1,0.21742450408550773
ACSBG1,0.22657557863460542
ACSBG2,0.15801130144606196
ACSF2,0.4519671520778988
ACSF3,0.1372297381857062
ACSL1,0.03856158233221572
ACSL3,0.20056305461485385
ACSL4,0.31461451018263864
ACSL5,0.1498309086287283
ACSL6,0.6284597668850765
ACSM1,-0.004115737540821262
ACSM2A,-0.06324235270962056
ACSM2B,0.05293127282388769
ACSM3,0.10134198868533957
ACSM4,0.05418296769090971
ACSM5,0.44428864707296356
ACSM6,-0.02631393253098533
ACSS1,0.07004688324604767
ACSS2,0.23640669267280048
ACSS3,0.12205361414515928
ACTA1,0.3370978866134299
ACTA2,0.10950741036032127
ACTA2-AS1,0.3594955518962139
ACTB,0.14069792809584353
ACTBL2,-0.059084372548554955
ACTC1,0.688592539082959
ACTG1,0.4974675741807792
ACTG1P4,0.29614726126937785
ACTG2,0.05332543454206015
ACTL10,0.01772187463095211
ACTL6A,0.17419453142328287
ACTL6B,-0.03523933303368629
ACTL7A,-0.03868606120647087
ACTL7B,0.10768316835785635
ACTL8,0.0913302130022289
ACTL9,0.04154385881169589
ACTN1,0.21364860458812646
ACTN2,0.4301931243672668
ACTN3,0.16882049290772888
ACTN4,0.4183889744775844
ACTR10,0.3408160794853397
ACTR1A,0.30748819622083584
ACTR1B,0.1863417027354785
ACTR2,0.0016900858883784943
ACTR3,0.10563716151409033
ACTR3B,0.39903594600814735
ACTR3BP2,0.011206478412429348
ACTR3C,0.4924133539101694
ACTR5,0.24505460264474035
ACTR6,0.08175193489250489
ACTR8,0.1314885016691281
ACTRT1,-0.024614282554420133
ACTRT2,-0.007393372990707839
ACTRT3,-0.02396609777185372
ACVR1,0.2826371033476869
ACVR1B,0.07909175564806702
ACVR1C,0.6584645083075695
ACVR2A,0.5190633981714389
ACVR2B,0.3736492360099566
ACVRL1,0.13029431825721943
ACY3,0.38045343255658637
ACYP1,-0.03726986656647405
ACYP2,0.39240124144425875
ADA,0.08039468714334229
ADA2,0.025769496432611484
ADAD1,0.13415602730724116
ADAD2,0.44166096142246225
ADAL,0.09221328859689847
ADAM10,-0.01674630982151572
ADAM11,0.08885355742430909
ADAM12,0.030608116380315395
ADAM15,0.13849420850875535
ADAM17,0.0976120863068222
ADAM18,0.03233370505419623
ADAM19,0.10494789145267452
ADAM2,0.04915577653874888
ADAM20,0.16285854472896605
ADAM20P1,0.3385756049807844
ADAM21,0.04051567754612145
ADAM21P1,0.013755931368758915
ADAM22,0.5178741523185528
ADAM23,0.7782164558260856
ADAM28,0.4516935328626043
ADAM29,0.06738892685230316
ADAM30,0.04966636988012809
ADAM32,0.15351350516147952
ADAM33,-0.011101211573059273
ADAM5,-0.013519711353093301
ADAM6,-0.014382128149895703
ADAM7,-0.01035104256126042
ADAM8,0.2567425250658105
ADAM9,0.3656711844864363
ADAMDEC1,0.1613451271683198
ADAMTS1,0.03082315625320329
ADAMTS10,0.024744768499945016
ADAMTS12,0.007149338728564639
ADAMTS13,0.3436616907306774
ADAMTS14,0.080984530321198
ADAMTS15,-0.021979798577057938
ADAMTS16,0.11206964935299389
ADAMTS17,0.2717182872828418
ADAMTS18,0.08056505740229473
ADAMTS19,0.4579774095314982
ADAMTS2,0.21303401962585067
ADAMTS20,0.07769610625466714
ADAMTS3,0.5851403415519382
ADAMTS4,0.21534033142145875
ADAMTS5,0.2633452316612989
ADAMTS6,0.04769741475395639
ADAMTS7,0.11627851186171709
ADAMTS7P1,0.05808562155426724
ADAMTS8,0.36808922530072685
ADAMTS9,0.6352597580508242
ADAMTSL1,0.4234875325255685
ADAMTSL2,0.3540888836631865
ADAMTSL3,0.4321796480178025
ADAMTSL4,-0.023698044696135134
ADAMTSL5,0.1104325287713955
ADAP1,0.060484367233466216
ADAP2,0.5256375692051576
ADAR,0.10380665446727447
ADARB1,-0.033806770216559326
ADARB2,0.0711405071153028
ADARB2-AS1,0.34832292098195716
ADAT1,0.02588475385138423
ADAT2,0.08291583509513271
ADAT3,0.10989765363061449
ADCK1,0.02715231001820303
ADCK2,0.0827078771212215
ADCK5,0.05121760874310047
ADCY1,0.2591019810893498
ADCY10,-0.005191799598666963
ADCY10P1,-0.02504372587742494
ADCY2,0.557331183035408
ADCY3,0.10608286233173193
ADCY4,0.1418614816782006
ADCY5,0.07780383263364889
ADCY6,-0.038024364719777555
ADCY7,0.5637753857688893
ADCY8,0.31700381835459535
ADCY9,0.663968287910667
ADCYAP1,0.4712052131935899
ADCYAP1R1,0.34926578587306817
ADD1,0.3799309890716594
ADD2,0.16483135306864558
ADD3,0.397939417210774
ADD3-AS1,0.1265227135960066
ADGB,0.06793293726753263
ADGRA1,0.33601966780167963
ADGRA2,0.2208370771647778
ADGRA3,0.4356801658267202
ADGRB1,0.03912540371483872
ADGRB2,0.09330029642331171
ADGRB3,0.27820512620359195
ADGRD1,0.13528439931818478
ADGRE1,0.17975489789322274
ADGRE2,0.10305832742242384
ADGRE3,0.0576677547887241
ADGRE5,0.23391114299088436
ADGRF1,0.09186924256775518
ADGRF2,-0.03508215554950323
ADGRF3,0.004073523957192286
ADGRF4,-0.009844117166948503
ADGRF5,0.33363682825286817
ADGRG1,0.5225741284013276
ADGRG2,0.07863360358896755
ADGRG3,0.05572283344886622
ADGRG4,0.10821997035367067
ADGRG5,-0.006779843604322822
ADGRG6,0.20571763215087835
ADGRG7,0.08431258474330297
ADGRL1,-0.062387111971504705
ADGRL2,0.42473869035507267
ADGRL3,0.5027264668000905
ADGRL4,0.3232112306017903
ADGRV1,0.5942262447233208
ADH1A,0.039636516267801666
ADH1B,0.051953650198478085
ADH1C,0.07328669436788612
ADH4,-0.06329108306124553
ADH5,0.26988772828645796
ADH6,0.07485124984468652
ADH7,0.07782355733492298
ADHFE1,0.39061934844161444
ADI1,0.48709332567017577
ADIG,-0.00616515717937178
ADIPOQ,0.13234233522101305
ADIPOR1,0.02964453777668398
ADIPOR2,0.13609687979705443
ADIRF,0.587522347085089
ADK,0.10958060532795064
ADM,0.2664942614578005
ADM2,0.014705471647956372
ADM5,0.5027286960625807
ADNP,0.0291964001140888
ADNP-AS1,0.10027751465923712
ADNP2,0.38436986881460977
ADO,0.3829213696452859
ADORA1,0.192668851059543
ADORA2A-AS1,0.07304565516565438
ADORA2B,0.40539231715274193
ADORA3,0.21215611259297976
ADPGK,0.048005848139320094
ADPRH,0.06653401162433073
