,genes,stability
0,A1BG,0.3120755332206116
1,A1BG-AS1,0.6450586181562268
2,A1CF,0.03730923727873563
3,A2M,0.18747511885523963
4,A2ML1,0.11047918560370161
5,A3GALT2,-0.013126827640175648
6,A4GALT,0.06558269783844294
7,A4GNT,0.03666931315539058
8,AAAS,0.2271901471786717
9,AACS,0.5779441802890992
10,AADAC,0.038359079321160276
11,AADACL2,0.01203792333894927
12,AADACL3,0.1858582115088065
13,AADACL4,0.004862315256487981
14,AADAT,0.3177311510243488
15,AAED1,0.46907627309453376
16,AAGAB,0.2319986903003704
17,AAK1,0.35542927485870146
18,AAMDC,0.46452530132113884
19,AAMP,0.2835350418251223
20,AANAT,0.0028030226029314652
21,AAR2,0.05616719631018094
22,AARD,0.04541281621137565
23,AARS,0.49598028466246086
24,AARS2,0.4131808192239116
25,AASDH,0.2756432413707388
26,AASDHPPT,0.20588722807585177
27,AASS,0.4583108179703653
28,AATBC,0.1340119215432659
29,AATF,0.408722631901095
30,AATK,0.2198912103977369
31,ABAT,0.2831047559016882
32,ABCA1,0.5536811514379486
33,ABCA10,0.1798187736806956
34,ABCA11P,0.0975504128072115
35,ABCA12,0.0016300882348344017
36,ABCA13,0.3368930351703081
37,ABCA2,0.1247039615686306
38,ABCA3,0.3357656723653974
39,ABCA4,0.377221606939351
40,ABCA5,0.4248717661144442
41,ABCA6,0.6574655922013003
42,ABCA7,0.17243134151426479
43,ABCA8,0.34986830327833457
44,ABCA9,0.33087636702182477
45,ABCB1,0.24538947227042998
46,ABCB10,0.5325401588393782
47,ABCB11,0.053842693033248214
48,ABCB4,0.12353654690043775
49,ABCB5,-0.01438960520178001
50,ABCB6,0.3894170893291808
51,ABCB7,0.6248702253245866
52,ABCB8,0.22630824311565115
53,ABCB9,0.34047143675306013
54,ABCC1,0.34306786122691246
55,ABCC10,0.1882634290054276
56,ABCC11,0.04727115407214377
57,ABCC12,0.7294353005286603
58,ABCC13,0.004154382164507934
59,ABCC2,0.08866977593932553
60,ABCC3,0.43000324900992953
61,ABCC4,0.3978791913608371
62,ABCC5,0.48904544118361964
63,ABCC6,0.17360753753801522
64,ABCC8,0.7517210713499585
65,ABCC9,0.17578413072043414
66,ABCD1,0.16432121717051024
67,ABCD2,0.2903282057427113
68,ABCD3,0.44079623159727405
69,ABCD4,0.10343855595726578
70,ABCE1,0.3478353159001385
71,ABCF1,0.4142013343859194
72,ABCF2,0.5655821081893753
73,ABCF3,0.10487543656134889
74,ABCG1,0.5647470031768089
75,ABCG2,0.4497800839011385
76,ABCG4,0.29815003265923046
77,ABCG5,0.54344736830361
78,ABCG8,0.06891529927762377
79,ABHD1,0.3417403423038486
80,ABHD10,0.10599912291118743
81,ABHD11,0.29687741657083044
82,ABHD12,0.4366067770371124
83,ABHD12B,0.6949174715353487
84,ABHD13,0.3599485973672699
85,ABHD14A,0.1586912140609972
86,ABHD14B,0.07166603289490671
87,ABHD15,0.17188378749801464
88,ABHD16A,0.3076035526651177
89,ABHD16B,0.23167872977854112
90,ABHD17A,0.36260741438735095
91,ABHD17B,0.2837405603356064
92,ABHD17C,0.41550664576315094
93,ABHD18,0.06581157876944593
94,ABHD2,0.5079362014375058
95,ABHD3,0.4838547960576192
96,ABHD4,0.5957939883627308
97,ABHD5,0.3179990953277186
98,ABHD6,0.45495955449247977
99,ABHD8,0.5271211788361614
100,ABI1,0.5888661298311241
101,ABI2,0.487266099702955
102,ABI3,0.1966691296481294
103,ABI3BP,0.5605493293859418
104,ABL1,0.42624410570358623
105,ABL2,0.23542666787825717
106,ABLIM1,0.275505742711821
107,ABLIM2,0.511223817078324
108,ABLIM3,0.47503363703057
109,ABO,-0.0468747079299067
110,ABR,0.5654335211191922
111,ABRA,0.09081146172639487
112,ABRACL,0.51653071789291
113,ABRAXAS1,0.13448089094101812
114,ABRAXAS2,0.09900049298994848
115,ABT1,0.2594968153051352
116,ABTB1,0.6372298627672474
117,ABTB2,0.5745848818863598
118,ACAA1,0.23503680054932455
119,ACAA2,0.3724873718472746
120,ACACA,0.38591064510834244
121,ACACB,0.3279725885882036
122,ACAD10,0.41428350600730474
123,ACAD11,0.18947825275920832
124,ACAD8,0.4301337642385963
125,ACAD9,0.271245652049085
126,ACADL,0.5517500126489414
127,ACADM,0.21888958080535978
128,ACADS,0.22759161901394717
