,genes,stability
0,A1BG,0.6415229068529494
1,A1BG-AS1,0.6382768461112412
2,A1CF,0.035488469934667026
3,A2M,0.15388386968992107
4,A2ML1,0.09978227663808369
5,A3GALT2,0.01802610527720364
6,A4GALT,0.08986447768254525
7,A4GNT,-0.038189804845792256
8,AAAS,0.26785593216783055
9,AACS,0.5746484579447079
10,AADAC,0.007810087427037577
11,AADACL2,0.03984107767794029
12,AADACL3,0.15438252223917362
13,AADACL4,0.049312365544050475
14,AADAT,0.16093748503152955
15,AAED1,0.3747432197123226
16,AAGAB,0.31741071076918886
17,AAK1,0.468593889618955
18,AAMDC,0.4729701784600594
19,AAMP,0.2337606812902573
20,AANAT,0.08379441954245687
21,AAR2,0.02995442017991468
22,AARD,0.37736695001142323
23,AARS,0.5538664679200395
24,AARS2,0.4728812934374709
25,AASDH,0.2973979260519093
26,AASDHPPT,0.1904384362467152
27,AASS,0.44734469043486663
28,AATBC,0.21737185130526043
29,AATF,0.2743943980744605
30,AATK,0.14720353734737437
31,ABAT,0.3666150890075681
32,ABCA1,0.49552777667924713
33,ABCA10,0.20471868533584273
34,ABCA11P,0.14692571643817237
35,ABCA12,-0.01576255388215032
36,ABCA13,0.07823105222432838
37,ABCA2,0.14938345115504675
38,ABCA3,0.21410455216738317
39,ABCA4,0.5128048963060075
40,ABCA5,0.3916612686057222
41,ABCA6,0.5659350301768241
42,ABCA7,0.4274739772535862
43,ABCA8,0.33633394692570867
44,ABCA9,0.34002893407637447
45,ABCB1,0.1535490050441316
46,ABCB10,0.3633190802703485
47,ABCB11,0.06272943978276146
48,ABCB4,0.08536038703325408
49,ABCB5,0.019379057618242202
50,ABCB6,0.3914146463828572
51,ABCB7,0.5957891932520638
52,ABCB8,0.18640935451254664
53,ABCB9,0.21120101443095188
54,ABCC1,0.18546080371619725
55,ABCC10,0.2386897759844902
56,ABCC11,-0.009289076867723992
57,ABCC12,0.15840072317216822
58,ABCC13,0.11992750305850618
59,ABCC2,0.03202021013560318
60,ABCC3,0.2152217646235919
61,ABCC4,0.3777425012714903
62,ABCC5,0.34557462195835564
63,ABCC6,0.0636362328599189
64,ABCC8,0.7518083623735952
65,ABCC9,0.18720745214897552
66,ABCD1,0.26116204638995416
67,ABCD2,0.37255283027769887
68,ABCD3,0.3395050026598236
69,ABCD4,0.06360935613325015
70,ABCE1,0.45473633140221725
71,ABCF1,0.44456339569277753
72,ABCF2,0.5679433628097765
73,ABCF3,0.05934620636996792
74,ABCG1,0.3950466191002378
75,ABCG2,0.44219357717142593
76,ABCG4,0.11945794970153198
77,ABCG5,0.6310842077134727
78,ABCG8,0.08563201983271043
79,ABHD1,0.4731227586952576
80,ABHD10,0.13367811770589214
81,ABHD11,0.22230589618902197
82,ABHD12,0.3888005255906893
83,ABHD12B,0.671441520287421
84,ABHD13,0.39934354796247634
85,ABHD14A,0.14836160178279706
86,ABHD14B,0.14488615258826548
87,ABHD15,0.23855198490007806
88,ABHD16A,0.19662554453177528
89,ABHD16B,0.2033162247203401
90,ABHD17A,0.40709298717526093
91,ABHD17B,0.2785640181761317
92,ABHD17C,0.5084473469451412
93,ABHD18,0.04013442619544294
94,ABHD2,0.38435942135826806
95,ABHD3,0.37198768897707146
96,ABHD4,0.539605172482451
97,ABHD5,0.3061857515776731
98,ABHD6,0.4614002230062066
99,ABHD8,0.5594716063275255
100,ABI1,0.5457319280733628
101,ABI2,0.3371505816460516
102,ABI3,0.35318913771884225
103,ABI3BP,0.43440164519482766
104,ABL1,0.3436675303947709
105,ABL2,0.1626262815633675
106,ABLIM1,0.2582529110057709
107,ABLIM2,0.6744051824237498
108,ABLIM3,0.569653552518618
109,ABO,-0.030650902279011714
110,ABR,0.48428751860959085
111,ABRA,0.0288057772844772
112,ABRACL,0.5295381377871563
113,ABRAXAS1,0.1796276116638884
114,ABRAXAS2,0.2266485668632141
115,ABT1,0.29544557573299796
116,ABTB1,0.6567110789673498
117,ABTB2,0.6643450639136312
118,ACAA1,0.1096322285423756
119,ACAA2,0.35419317851923393
120,ACACA,0.26130702199276723
121,ACACB,0.3502347801481562
122,ACAD10,0.30460330315938916
123,ACAD11,0.18693184864084494
124,ACAD8,0.43030834904091003
125,ACAD9,0.2671351831586204
126,ACADL,0.564656619006499
127,ACADM,0.15728591830526564
128,ACADS,0.22640251532875016
129,ACADSB,0.2960731019887042
130,ACADVL,0.37635122054637177
131,ACAN,0.65344799005158
132,ACAP1,0.13353796480826288
133,ACAP2,0.3505451049248339
134,ACAP3,0.47576616738892
135,ACAT1,0.2056304219826714
136,ACAT2,0.46477480326521226
137,ACBD3,0.05087650888453869
