,genes,stability
0,A1BG,0.6158785908135365
1,A1BG-AS1,0.6362888029521722
2,A1CF,0.03191179597484533
3,A2M,0.11110056922638563
4,A2ML1,0.087075181282906
5,A3GALT2,0.01602269415636148
6,A4GALT,0.08934198416076893
7,A4GNT,0.08137317400145412
8,AAAS,0.2151606277188561
9,AACS,0.5948192290691842
10,AADAC,0.013108119770651416
11,AADACL2,0.043020750228821326
12,AADACL3,0.15202529212030008
13,AADACL4,0.051346670594704914
14,AADAT,0.4620658343766244
15,AAED1,0.357525423066131
16,AAGAB,0.12404565879830555
17,AAK1,0.2858780424606849
18,AAMDC,0.4334134561948156
19,AAMP,0.35279054692220235
20,AANAT,-0.01938305725094093
21,AAR2,0.021660574202446284
22,AARD,0.15350804170285284
23,AARS,0.5909459163523577
24,AARS2,0.4789839871354848
25,AASDH,0.06190736304639521
26,AASDHPPT,0.14857554220549857
27,AASS,0.4448026685191105
28,AATBC,0.22313203308282367
29,AATF,0.28024851577127075
30,AATK,0.14176977549437358
31,ABAT,0.34687358509493044
32,ABCA1,0.49308380006710467
33,ABCA10,0.210100679653467
34,ABCA11P,0.17551216843199172
35,ABCA12,-0.023811820740086788
36,ABCA13,0.42604048380468446
37,ABCA2,0.15141498706111153
38,ABCA3,0.4339315436715037
39,ABCA4,0.5043918128495156
40,ABCA5,0.35057256780667334
41,ABCA6,0.634059659426286
42,ABCA7,0.017531109990191047
43,ABCA8,0.25378700053412045
44,ABCA9,0.32773319663119665
45,ABCB1,0.13820047165278393
46,ABCB10,0.3536988823553017
47,ABCB11,0.06512630002073724
48,ABCB4,0.09426802532956359
49,ABCB5,0.06681010846973492
50,ABCB6,0.2239904160041014
51,ABCB7,0.5379423487262976
52,ABCB8,0.3534262417506035
53,ABCB9,0.23181924492671635
54,ABCC1,0.1680639840046297
55,ABCC10,0.14783631188712726
56,ABCC11,-0.010507106305089045
57,ABCC12,0.8101302269252756
58,ABCC13,0.11954941982958064
59,ABCC2,0.03950544788375779
60,ABCC3,0.2134725694078896
61,ABCC4,0.37874592993017614
62,ABCC5,0.3202036620251753
63,ABCC6,0.0644336565458749
64,ABCC8,0.7262617473877739
65,ABCC9,0.17971986326091702
66,ABCD1,0.25959151423553617
67,ABCD2,0.23811308872064715
68,ABCD3,0.3437296994151107
69,ABCD4,0.06733196635328266
70,ABCE1,0.40728588156529116
71,ABCF1,0.4620085417822646
72,ABCF2,0.5953107208187934
73,ABCF3,0.24276516372374582
74,ABCG1,0.39911421239713774
75,ABCG2,0.41305217726168625
76,ABCG4,0.11343875220039354
77,ABCG5,0.626971739640685
78,ABCG8,0.08141732472007401
79,ABHD1,0.15931708221316854
80,ABHD10,0.14463373976278993
81,ABHD11,0.23888790875676094
82,ABHD12,0.391310908870898
83,ABHD12B,0.6559238382243673
84,ABHD13,0.40408595976729955
85,ABHD14A,0.1544891004583892
86,ABHD14B,0.044736173509653324
87,ABHD15,0.23232642328710365
88,ABHD16A,0.2729309716905176
89,ABHD16B,0.18534416841675483
90,ABHD17A,0.41955600140465316
91,ABHD17B,0.2223752238203562
92,ABHD17C,0.2833722542996126
93,ABHD18,0.03679895543064656
94,ABHD2,0.3881606565599618
95,ABHD3,0.5656546035489055
96,ABHD4,0.5654155639928484
97,ABHD5,0.3109490804696173
98,ABHD6,0.370635897949994
99,ABHD8,0.503155615641247
100,ABI1,0.5043037470529445
101,ABI2,0.40794029586458475
102,ABI3,0.02018609336748849
103,ABI3BP,0.4359063891660869
104,ABL1,0.34096056679880554
105,ABL2,0.16459684478960884
106,ABLIM1,0.23532753617041852
107,ABLIM2,0.6434452972665434
108,ABLIM3,0.25431404808113095
109,ABO,-0.026695155707489912
110,ABR,0.468287719701076
111,ABRA,0.04596077986401822
112,ABRACL,0.5117447245707013
113,ABRAXAS1,0.09044053356361521
114,ABRAXAS2,0.3139270101064566
115,ABT1,0.2920185615108222
116,ABTB1,0.5928185283196155
117,ABTB2,0.6675589565605934
118,ACAA1,0.10137290730387628
119,ACAA2,0.33679036437113236
120,ACACA,0.2606066184981337
121,ACACB,0.12768714088046407
122,ACAD10,0.3126033259508028
123,ACAD11,0.18624212164795076
124,ACAD8,0.33228976351774453
125,ACAD9,0.28396550891548306
126,ACADL,0.5663462483035058
127,ACADM,0.11273803476108682
128,ACADS,0.21979024571588326
129,ACADSB,0.23568885480043353
130,ACADVL,0.2605157085785612
131,ACAN,0.651476368264405
132,ACAP1,0.133657028036797
133,ACAP2,0.17076292983066355
134,ACAP3,0.4908858385626299
135,ACAT1,0.20384052293115199
136,ACAT2,0.5197365948405234
137,ACBD3,0.04790037955929672
138,ACBD4,-0.014678739124260131
139,ACBD5,0.12117484005395612
140,ACBD6,0.29713738845378834
141,ACBD7,0.2728557936112826
142,ACCS,0.13731280307424906
143,ACCSL,0.018150912682820573
144,ACD,0.42909607537205374
145,ACE,0.3378728789077414
146,ACE2,0.2636372045808248
147,ACER1,0.08255552277081112
148,ACER2,0.08355185048475919
149,ACER3,0.23141859552192315
150,ACHE,0.5952529549750313
151,ACIN1,0.013391398804859877
152,ACKR1,0.21363901158795218
153,ACKR2,0.01731866107002112
154,ACKR3,0.4459408306157812
155,ACKR4,0.2736883292488609
156,ACLY,0.3888916826270797
157,ACMSD,0.04492725180372607
158,ACO1,0.3441014288406153
159,ACO2,0.4997454234010524
160,ACOT11,0.12923231457944953
161,ACOT12,0.33515030833357345
162,ACOT13,0.23889938955138507
163,ACOT2,0.4491494345443195
164,ACOT4,0.5300787257518471
165,ACOT6,0.008115636689301086
166,ACOT7,0.331840102100507
167,ACOT8,0.5671646814561879
168,ACOT9,0.02430513027397958
169,ACOX1,0.2801773866365445
170,ACOX2,0.2821746706715159
171,ACOX3,0.40786971804283706
172,ACOXL,0.02739898474894233
173,ACP1,0.2401034409398257
174,ACP2,0.13235184369989964
175,ACP4,0.005695112020569411
176,ACP5,0.17895969153632996
177,ACP6,-0.0025545323120368846
178,ACP7,0.04106461562449463
179,ACPP,0.043639653149248094
180,ACR,0.1460464359453603
181,ACRBP,0.16420345435848985
182,ACRV1,0.11648456582438069
183,ACSBG1,0.4380845398257279
184,ACSBG2,0.20166141026915316
185,ACSF2,0.38660041649823984
186,ACSF3,0.5182110575861328
187,ACSL1,0.28911703889624746
188,ACSL3,0.497728841427184
189,ACSL4,0.47628124741970745
190,ACSL5,0.06294989492354357
191,ACSL6,0.5931449354038868
192,ACSM1,0.032904937589875526
193,ACSM2A,0.16722555304019351
194,ACSM2B,-0.013097424610211711
195,ACSM3,0.04465583315538943
196,ACSM4,0.04369354746910029
197,ACSM5,0.4501422947934521
198,ACSM6,0.024086202483228673
199,ACSS1,0.09550168073280159
200,ACSS2,0.30207464033787074
201,ACSS3,0.31765932449448175
202,ACTA1,0.37155120245824363
203,ACTA2,0.10405709539348712
204,ACTA2-AS1,0.5768457927164632
205,ACTB,0.32513924191244853
206,ACTBL2,0.03821850725323965
207,ACTC1,0.6782240146282802
208,ACTG1,0.5605490807876795
209,ACTG1P4,0.021905805443706333
210,ACTG2,0.0665890097034053
211,ACTL10,0.3156628692958175
212,ACTL6A,0.5084280566468119
213,ACTL6B,0.5003255917609021
214,ACTL7A,0.03137335440071691
215,ACTL7B,0.09175016349291124
216,ACTL8,0.04319088280559722
217,ACTL9,0.07205842906314164
218,ACTN1,0.3569991261275424
219,ACTN2,0.6648468908728611
220,ACTN3,0.37991952010958274
221,ACTN4,0.5400970105330785
222,ACTR10,0.505458410296695
223,ACTR1A,0.35115582756719116
224,ACTR1B,0.6366141129613244
225,ACTR2,0.02937044260912023
226,ACTR3,0.16611085928836994
227,ACTR3B,0.503743227145734
228,ACTR3BP2,0.32186166040111064
229,ACTR3C,0.4892792518801637
230,ACTR5,0.3689543821149198
231,ACTR6,0.27162069062433597
232,ACTR8,0.008628156602966786
233,ACTRT1,0.025027486256564143
234,ACTRT2,0.12614333381031978
235,ACTRT3,0.015131481215785121
236,ACVR1,0.5691117580194713
237,ACVR1B,0.1607195314554937
238,ACVR1C,0.6257056263927698
239,ACVR2A,0.6451627058958663
240,ACVR2B,0.3027427896935578
241,ACVRL1,0.2602755867374471
242,ACY3,0.3588092511746944
243,ACYP1,0.3227260635919185
244,ACYP2,0.399382346815828
245,ADA,0.28011807121579935
246,ADA2,0.2459021569797561
247,ADAD1,0.011775319458722582
248,ADAD2,0.14551452301012718
249,ADAL,0.20065502887825767
250,ADAM10,0.30325335337537657
251,ADAM11,0.5185076685495972
252,ADAM12,0.47182772082287
253,ADAM15,0.44903376878268836
254,ADAM17,0.28857440461444994
255,ADAM18,0.03965417753917242
256,ADAM19,0.25803822809404225
257,ADAM2,0.046787729834370066
258,ADAM20,0.3045566116765884
259,ADAM20P1,0.5399521667842635
260,ADAM21,0.2687958320412568
261,ADAM21P1,-0.006882229892439903
262,ADAM22,0.44532054180906633
263,ADAM23,0.47637883321243346
264,ADAM28,0.35347973301960006
265,ADAM29,-0.02614974803058269
266,ADAM30,0.08178166722838105
267,ADAM32,0.36834399475444646
268,ADAM33,0.08791807647734047
269,ADAM5,0.11991901770335246
270,ADAM6,0.03184199333223831
271,ADAM7,0.14821844808686038
272,ADAM8,0.10749947310900604
273,ADAM9,0.3223357267051907
274,ADAMDEC1,0.20543131980850474
275,ADAMTS1,0.10337788263175979
276,ADAMTS10,0.4125247531855134
277,ADAMTS12,0.06517505514860975
278,ADAMTS13,0.3397218186337817
279,ADAMTS14,0.18638860909291433
280,ADAMTS15,0.021827706346255644
281,ADAMTS16,0.2691765849168786
282,ADAMTS17,0.14006626688586657
283,ADAMTS18,0.2439118532736139
284,ADAMTS19,0.4995144414275469
285,ADAMTS2,0.16576574750431644
286,ADAMTS20,0.05240977069575815
287,ADAMTS3,0.6718159451367555
288,ADAMTS4,0.3712705467418768
289,ADAMTS5,0.44070586173401727
290,ADAMTS6,0.053364404856271724
291,ADAMTS7,0.030475019672046508
292,ADAMTS7P1,0.053421803167162656
293,ADAMTS8,0.6039968920111413
294,ADAMTS9,0.48094074322041475
295,ADAMTSL1,0.31782148020126344
296,ADAMTSL2,0.56105773018909
297,ADAMTSL3,0.409153607399659
298,ADAMTSL4,-0.0335270371465074
299,ADAMTSL5,0.3298816779738194
300,ADAP1,0.4831630835177395
301,ADAP2,0.5307744896677685
302,ADAR,0.03360644930968814
303,ADARB1,0.19128135404484342
304,ADARB2,0.2898777147769246
305,ADARB2-AS1,0.5005257460526006
306,ADAT1,0.4667928838366628
307,ADAT2,0.10406598450818001
308,ADAT3,0.12792679677448004
309,ADCK1,0.4417349126694221
310,ADCK2,0.5483392174870464
311,ADCK5,0.3411812578955475
312,ADCY1,0.6459245328092723
313,ADCY10,0.03860909894823226
314,ADCY10P1,0.262262104374651
315,ADCY2,0.7776929011821218
316,ADCY3,0.25758450612959577
317,ADCY4,0.12533819151598363
318,ADCY5,0.33221324572234645
319,ADCY6,0.4636506637503566
320,ADCY7,0.5945150760840199
321,ADCY8,0.5664325271283884
322,ADCY9,0.3710690515437278
323,ADCYAP1,0.5592789824907249
324,ADCYAP1R1,0.5044369524433402
325,ADD1,0.10853344660383216
326,ADD2,0.29639689582720496
327,ADD3,0.31921913022256
328,ADD3-AS1,0.3393246184417133
329,ADGB,0.10160546126490079
330,ADGRA1,0.547311545591576
331,ADGRA2,0.21977295658413062
332,ADGRA3,0.29656597409036356
333,ADGRB1,0.2180948662750865
334,ADGRB2,0.44199074974707175
335,ADGRB3,0.5162352468890948
336,ADGRD1,0.20158390377930063
337,ADGRE1,0.21672177201999274
338,ADGRE2,0.1101216677035248
339,ADGRE3,0.09585215201832221
340,ADGRE5,0.3198631685206346
341,ADGRF1,0.08007066064893668
342,ADGRF2,0.06262964249688688
343,ADGRF3,0.16783756077958653
344,ADGRF4,0.09224048115050495
345,ADGRF5,0.4006015601098164
346,ADGRG1,0.37278328330463534
347,ADGRG2,0.15116655459588987
348,ADGRG3,0.015204551547878675
349,ADGRG4,0.09555550852154164
350,ADGRG5,-0.002247706829978835
351,ADGRG6,0.3727796428422787
352,ADGRG7,0.053728219346618915
353,ADGRL1,0.3378681098562437
354,ADGRL2,0.6175276516886842
355,ADGRL3,0.41522839707770764
356,ADGRL4,0.38079456248041293
357,ADGRV1,0.5474555698700383
358,ADH1A,0.05691368958019674
359,ADH1B,0.029684212831181243
360,ADH1C,0.2542720294596988
361,ADH4,0.022608348541198295
362,ADH5,0.24589765525839344
363,ADH6,0.01631325971537396
364,ADH7,0.07276039047589146
365,ADHFE1,0.289772748047098
366,ADI1,0.395052151901137
367,ADIG,0.18349036256687734
368,ADIPOQ,-0.05435696638930201
369,ADIPOR1,0.42172130284091974
370,ADIPOR2,0.2502814925952776
371,ADIRF,0.4602115699418015
372,ADK,0.34389885195604625
373,ADM,0.5075838041615813
374,ADM2,0.03550839035118081
375,ADM5,0.4925959948408858
376,ADNP,0.2995672722709719
377,ADNP-AS1,0.24694485768072738
378,ADNP2,0.03379376442925966
379,ADO,0.5615369485906988
380,ADORA1,0.4866940730345747
381,ADORA2A-AS1,0.058331553082079
382,ADORA2B,0.3334586987983343
383,ADORA3,0.31081619694204937
384,ADPGK,0.10272720386545912
385,ADPRH,0.2724399788489467
386,ADPRHL1,0.7231020547959034
387,ADPRHL2,0.375889023900853
388,ADPRM,0.05624478177246518
389,ADRA1A,0.22330020262448266
390,ADRA1B,0.7219908665770167
391,ADRA1D,0.7466126475559932
392,ADRA2A,0.2340734960474937
393,ADRA2B,0.1243815723238222
394,ADRA2C,0.565274034662004
395,ADRB1,0.5376724533313539
396,ADRB2,0.47409380800622725
397,ADRB3,0.15099193192910756
398,ADRM1,0.012137755948086896
399,ADSL,0.3652428549831196
400,ADSS,0.5226668654250569
401,ADSSL1,0.45482540838051044
402,ADTRP,0.795964167207608
403,AEBP1,0.47557472130177597
404,AEBP2,0.18553887013715906
405,AEN,0.14666264581620955
406,AES,0.3652374053750919
407,AFAP1,0.28460946627381273
408,AFAP1-AS1,0.2699462488632896
409,AFAP1L1,0.027218966332848708
410,AFAP1L2,0.3463710928903008
411,AFDN,0.35064337961781283
412,AFDN-DT,0.06366685916755678
413,AFF1,0.3516125926010952
414,AFF2,0.19059840247646875
415,AFF3,0.12665207286227634
416,AFF4,0.3232582359056906
417,AFG1L,0.3201545844299402
418,AFG3L1P,0.300063227129777
419,AFG3L2,0.052423463972288566
420,AFM,0.07855788228475206
421,AFMID,0.2534645421255634
422,AFP,0.18285910882944229
423,AFTPH,0.530351270063371
