,genes,stability
0,A1BG,0.652327291308483
1,A1BG-AS1,0.6463960602172685
2,A1CF,0.08706787226336227
3,A2M,0.2004476050711449
4,A2ML1,0.11414736194966078
5,A3GALT2,0.016713405125632
6,A4GALT,0.08857367978832706
7,A4GNT,-0.03402388280023441
8,AAAS,0.2582210342439021
9,AACS,0.5792027587668933
10,AADAC,0.00550587490464277
11,AADACL2,0.0417436105795228
12,AADACL3,0.22239978196693286
13,AADACL4,0.051179748092261175
14,AADAT,0.16084464038312873
15,AAED1,0.38278387580913825
16,AAGAB,0.3384489736649845
17,AAK1,0.45889873029001044
18,AAMDC,0.4862579046444676
19,AAMP,0.23132615413141408
20,AANAT,0.0889428494983943
21,AAR2,0.034092033211461883
22,AARD,0.3849001564121044
23,AARS,0.5275836936922738
24,AARS2,0.4563358978552945
25,AASDH,0.2960748909669265
26,AASDHPPT,0.2011843034385165
27,AASS,0.4459557709465397
28,AATBC,0.21766473251535434
29,AATF,0.3972915810742131
30,AATK,0.24895379934457498
31,ABAT,0.3475492992291637
32,ABCA1,0.4972235684396224
33,ABCA10,0.20897788673936687
34,ABCA11P,0.1416506368021631
35,ABCA12,-0.016515476054408767
36,ABCA13,0.0819246572409232
37,ABCA2,0.1615464317968429
38,ABCA3,0.2320859444849595
39,ABCA4,0.5111453339533294
40,ABCA5,0.38860384096954736
41,ABCA6,0.5567017610697218
42,ABCA7,0.4135709426016426
43,ABCA8,0.33279376268964345
44,ABCA9,0.3415727913754638
45,ABCB1,0.14857655922086768
46,ABCB10,0.34136746292456216
47,ABCB11,0.058862461946326085
48,ABCB4,0.0879172549070382
49,ABCB5,0.022247840689205198
50,ABCB6,0.41096840070482693
51,ABCB7,0.618012497349716
52,ABCB8,0.188971110629152
53,ABCB9,0.197130411116414
54,ABCC1,0.15065599387638842
55,ABCC10,0.23251665629538373
56,ABCC11,0.17863710190789675
57,ABCC12,0.16901272764390152
58,ABCC13,-0.030221715200486776
59,ABCC2,0.03401916394000055
60,ABCC3,0.6399290769244199
61,ABCC4,0.42564699205539996
62,ABCC5,0.3126884332111245
63,ABCC6,0.4171843237814096
64,ABCC8,0.7458084929422816
65,ABCC9,0.17207233689000803
66,ABCD1,0.2566584332818245
67,ABCD2,0.37982155478711277
68,ABCD3,0.40588947878567494
69,ABCD4,0.25000575183501256
70,ABCE1,0.4643376196080113
71,ABCF1,0.4446223191994434
72,ABCF2,0.555993131023998
73,ABCF3,0.06674590951916398
74,ABCG1,0.6252419304223505
75,ABCG2,0.4351393995677549
76,ABCG4,0.5141669928039574
77,ABCG5,0.6333507341913337
78,ABCG8,0.09029575248287366
79,ABHD1,0.48186537928555695
80,ABHD10,0.05215248445297768
81,ABHD11,0.3425644549284865
82,ABHD12,0.516970188086918
83,ABHD12B,0.6707348598005651
84,ABHD13,0.37777409242084314
85,ABHD14A,0.12889602397799158
86,ABHD14B,0.1454246824330564
87,ABHD15,0.13534469607078073
88,ABHD16A,0.19692239060201994
89,ABHD16B,0.20061551875606762
90,ABHD17A,0.4001954271828356
91,ABHD17B,0.24332377493279714
92,ABHD17C,0.5165707364746962
93,ABHD18,0.027182115613375964
94,ABHD2,0.2988161813778073
95,ABHD3,0.36858663959588633
96,ABHD4,0.5514772702498233
97,ABHD5,0.30362183507008406
98,ABHD6,0.45718547679826715
99,ABHD8,0.5482707163238627
100,ABI1,0.5580115497622596
101,ABI2,0.36565702131822764
102,ABI3,0.3607538823486305
103,ABI3BP,0.43543950468589193
104,ABL1,0.12771448521150527
105,ABL2,0.21479430519331552
106,ABLIM1,0.1330479412138222
107,ABLIM2,0.6586803276842926
108,ABLIM3,0.574384591801098
109,ABO,-0.03217917930916528
110,ABR,0.47872954645735183
111,ABRA,0.031204901266277327
112,ABRACL,0.49235350196214894
113,ABRAXAS1,0.18061422984632264
114,ABRAXAS2,0.25278091696295646
115,ABT1,0.29625745863276925
116,ABTB1,0.6488427274872374
117,ABTB2,0.6637115782255987
118,ACAA1,0.17886444237326116
119,ACAA2,0.3622167925910122
120,ACACA,0.3977256777046983
121,ACACB,0.35245034344564835
122,ACAD10,0.2236554231875186
123,ACAD11,0.18341241955167467
124,ACAD8,0.43269232571881516
125,ACAD9,0.2596597890603959
126,ACADL,0.5644174707317411
127,ACADM,0.1572891173346446
128,ACADS,0.22871275327001797
129,ACADSB,0.3372325023291383
130,ACADVL,0.3888079218942005
131,ACAN,0.7579341389510391
132,ACAP1,0.13300474850855434
133,ACAP2,0.3667213010148957
134,ACAP3,0.4667901158706712
135,ACAT1,0.20844597948207003
136,ACAT2,0.4860730379497994
137,ACBD3,0.04838797154327788
138,ACBD4,0.07750203831127654
139,ACBD5,0.19963820688408876
140,ACBD6,0.2520097077159886
141,ACBD7,0.28034603659088125
142,ACCS,0.14216231385118097
143,ACCSL,0.014065404337939923
144,ACD,0.43060887169043427
145,ACE,0.342621612002476
146,ACE2,0.256833807744898
147,ACER1,0.07805532683197147
148,ACER2,0.07739231678783914
149,ACER3,0.25634752899464164
150,ACHE,0.7002665027118798
151,ACIN1,0.005427194085847979
152,ACKR1,0.3408399799414557
153,ACKR2,0.1896874485407393
154,ACKR3,0.4624554263371273
155,ACKR4,0.20992498592361036
156,ACLY,0.4049704687448787
157,ACMSD,0.05277109498774043
158,ACO1,0.44879065205506513
159,ACO2,0.2769272155796082
160,ACOT11,0.16425770330495376
161,ACOT12,0.33489721010058526
162,ACOT13,0.379155808187613
163,ACOT2,0.5327147292963883
164,ACOT4,0.5273712290238401
165,ACOT6,0.010817146135064818
166,ACOT7,0.2011383649126535
167,ACOT8,0.33823633414929494
168,ACOT9,0.3016971902725968
169,ACOX1,0.397083884513001
170,ACOX2,0.39041568511215974
171,ACOX3,0.4327919760759249
172,ACOXL,0.023317633841519095
173,ACP1,0.536318524131925
174,ACP2,0.11716078517600555
175,ACP4,0.13486804749107584
176,ACP5,0.17205166600816915
177,ACP6,0.15489577211657846
178,ACP7,0.034690174342699956
179,ACPP,0.21744230018446808
180,ACR,0.34374398622172203
181,ACRBP,0.163124341125321
182,ACRV1,0.30339804537603576
183,ACSBG1,0.488398222676509
184,ACSBG2,0.20004108093078007
185,ACSF2,0.3859371275157362
186,ACSF3,0.27210999127070756
187,ACSL1,0.29093900079923746
188,ACSL3,0.49290425493463363
189,ACSL4,0.40821057561874097
190,ACSL5,0.18762086169320913
191,ACSL6,0.5126773538779728
192,ACSM1,0.0360106993442626
193,ACSM2A,0.17553435031675865
194,ACSM2B,-0.021194389890012003
195,ACSM3,0.03783930329970197
196,ACSM4,0.04092753409064939
197,ACSM5,0.5857216002809102
198,ACSM6,0.025243822343513196
199,ACSS1,0.12556569393266062
200,ACSS2,0.3205295076426581
201,ACSS3,0.3492679992531837
202,ACTA1,0.3693545019493357
203,ACTA2,0.10271260522809718
204,ACTA2-AS1,0.5761263193209943
205,ACTB,0.13534254571685472
206,ACTBL2,0.19318908991688352
207,ACTC1,0.05717400105195394
208,ACTG1,0.38692699919945334
209,ACTG1P4,0.16069337018808616
210,ACTG2,0.07054007367998243
211,ACTL10,0.31548442034881385
212,ACTL6A,0.49650574573942813
213,ACTL6B,0.3066029543073212
214,ACTL7A,0.022420961937794304
215,ACTL7B,0.007770593885482557
216,ACTL8,0.04084976066001477
217,ACTL9,0.08088562125550441
218,ACTN1,0.3688251911679224
219,ACTN2,0.6622982698238886
220,ACTN3,0.38174604159440395
221,ACTN4,0.6006877909156955
222,ACTR10,0.5045779591571813
223,ACTR1A,0.287852714358613
224,ACTR1B,0.6311111252931938
225,ACTR2,0.018807028981989597
226,ACTR3,0.3040757668116153
227,ACTR3B,0.5496332207246751
228,ACTR3BP2,0.3061534891221845
229,ACTR3C,0.48352960663804617
230,ACTR5,0.3648528934822741
231,ACTR6,0.24908064982600361
232,ACTR8,0.15088814372190631
233,ACTRT1,0.023066861512575202
234,ACTRT2,0.11290270693013946
235,ACTRT3,0.009481823727745127
236,ACVR1,0.5785224166401828
237,ACVR1B,0.0010506847091555258
238,ACVR1C,0.6060280935248972
239,ACVR2A,0.590396645771537
240,ACVR2B,0.3262383592400027
241,ACVRL1,0.2893635175701641
242,ACY3,0.4536159827143253
243,ACYP1,0.30168250300466387
244,ACYP2,0.4230871005194834
245,ADA,0.2284613081574177
246,ADA2,0.2980223434348839
247,ADAD1,0.19526304452104032
248,ADAD2,0.5278653930284924
249,ADAL,0.30876501781559457
250,ADAM10,0.381287465299067
251,ADAM11,0.5136160713786474
252,ADAM12,0.45886085241931446
253,ADAM15,0.4510159067137098
254,ADAM17,0.2685384874563119
255,ADAM18,0.04436559565439856
256,ADAM19,0.42455437981398875
257,ADAM2,0.013405870412684212
258,ADAM20,0.19861900935242752
259,ADAM20P1,0.5308045864118606
260,ADAM21,0.2688306379292232
261,ADAM21P1,-0.0054985199632562225
262,ADAM22,0.6784919509435832
263,ADAM23,0.5476974799396752
264,ADAM28,0.6157709259800034
265,ADAM29,0.21383149011718325
266,ADAM30,0.08024718081286987
267,ADAM32,0.37492432065886644
268,ADAM33,0.09556787295889665
269,ADAM5,0.11654411951361052
270,ADAM6,0.08195017380084592
271,ADAM7,0.14426891347505283
272,ADAM8,0.1355035645442483
273,ADAM9,0.29260865734301533
274,ADAMDEC1,0.21394339265753634
275,ADAMTS1,0.08868603674813325
276,ADAMTS10,0.4120784171754162
277,ADAMTS12,0.0625943997347104
278,ADAMTS13,0.5054741079759177
279,ADAMTS14,0.1905808782747273
280,ADAMTS15,0.02025970744946241
281,ADAMTS16,0.2716888095620187
282,ADAMTS17,0.34958356041678335
283,ADAMTS18,0.24567446548386013
284,ADAMTS19,0.49065534220442913
285,ADAMTS2,0.163311073141577
286,ADAMTS20,0.04873685540749404
287,ADAMTS3,0.6726245036907527
288,ADAMTS4,0.3827725997037863
289,ADAMTS5,0.43985717408392067
290,ADAMTS6,0.06597499321061202
291,ADAMTS7,0.2525330218227975
292,ADAMTS7P1,-0.07594410351170681
293,ADAMTS8,0.596229868486365
294,ADAMTS9,0.4748443467564785
295,ADAMTSL1,0.12434788252856123
296,ADAMTSL2,0.4182030566827964
297,ADAMTSL3,0.42810654692524014
298,ADAMTSL4,0.05177945389023652
299,ADAMTSL5,0.34313958344291584
300,ADAP1,0.15119321887388357
301,ADAP2,0.6754829776192861
302,ADAR,0.21474780338056482
