,genes,stability
0,A1BG,0.6185371908485061
1,A1BG-AS1,0.6350032060222712
2,A1CF,0.08052340684567971
3,A2M,0.1097360395760674
4,A2ML1,0.09003505627110804
5,A3GALT2,0.016661668703483616
6,A4GALT,0.09685059106420504
7,A4GNT,0.08120883002766102
8,AAAS,0.22944526305346813
9,AACS,0.6015041122850231
10,AADAC,0.014827166899063582
11,AADACL2,0.0420735197155418
12,AADACL3,0.2125970258408431
13,AADACL4,0.05254944808624705
14,AADAT,0.4464309098999182
15,AAED1,0.3762967221245751
16,AAGAB,0.1366933774414448
17,AAK1,0.290536079067343
18,AAMDC,0.436216871301838
19,AAMP,0.3544780603708755
20,AANAT,-0.019226201307426173
21,AAR2,0.028243829000646366
22,AARD,0.15080297475964966
23,AARS,0.5985654378071578
24,AARS2,0.4614716901726567
25,AASDH,0.062240065715382056
26,AASDHPPT,0.21320555736170435
27,AASS,0.44189132949033855
28,AATBC,0.22822378537883178
29,AATF,0.26096638506171194
30,AATK,0.30952352664239025
31,ABAT,0.2711158846336018
32,ABCA1,0.49651798247852363
33,ABCA10,0.20181869822845008
34,ABCA11P,0.15565469638368382
35,ABCA12,-0.024560152204262997
36,ABCA13,0.4241099216954056
37,ABCA2,0.15098722243030993
38,ABCA3,0.43654488446525214
39,ABCA4,0.5035009171588786
40,ABCA5,0.3580084828515646
41,ABCA6,0.6385544708459975
42,ABCA7,0.01348940345495376
43,ABCA8,0.25207616655182863
44,ABCA9,0.32650433331090617
45,ABCB1,0.15001942408797522
46,ABCB10,0.4665816856281534
47,ABCB11,0.06965103502753854
48,ABCB4,0.09649193667179091
49,ABCB5,0.06668200045080433
50,ABCB6,0.21458707474488783
51,ABCB7,0.537445706882271
52,ABCB8,0.3458804705050154
53,ABCB9,0.235746978291185
54,ABCC1,0.449276425957753
55,ABCC10,0.14334027019625875
56,ABCC11,0.032655887151210955
57,ABCC12,0.8119466511270818
58,ABCC13,-0.028534041552735857
59,ABCC2,0.040154103368481846
60,ABCC3,0.6381030816748077
61,ABCC4,0.4200799661496249
62,ABCC5,0.4913605705507518
63,ABCC6,0.06741703104528449
64,ABCC8,0.7338048061805932
65,ABCC9,0.13331117018782931
66,ABCD1,0.2651219037073974
