,genes,stability
0,A1BG,0.6437772233366733
1,A1BG-AS1,0.6457213168830197
2,A1CF,0.08840753938606719
3,A2M,0.18713526529263894
4,A2ML1,0.10782616397078527
5,A3GALT2,0.016832845513544963
6,A4GALT,0.0878926769873379
7,A4GNT,-0.034825952625242206
8,AAAS,0.2602924511632811
9,AACS,0.5813946396758648
10,AADAC,0.12014965822877248
11,AADACL2,0.04510294363548416
12,AADACL3,0.21547769386205304
13,AADACL4,0.04768538410085135
14,AADAT,0.17523800779757653
15,AAED1,0.29571134324941784
16,AAGAB,0.3432888277314788
17,AAK1,0.4717232560796247
18,AAMDC,0.48018743823708376
19,AAMP,0.2394210842947007
20,AANAT,0.09008655627364555
21,AAR2,0.02831646571218577
22,AARD,0.3908183694707212
23,AARS,0.5435457190450135
24,AARS2,0.4686275194046911
25,AASDH,0.29813577064417474
26,AASDHPPT,0.18917575423955504
27,AASS,0.3599020096022215
28,AATBC,0.06432872350990143
29,AATF,0.39050313824638266
30,AATK,0.2495319053729036
31,ABAT,0.35451150576327295
32,ABCA1,0.4912772403691272
33,ABCA10,0.2109541780880732
34,ABCA11P,0.16278786995825786
35,ABCA12,-0.0183734894519385
36,ABCA13,0.421794630403385
37,ABCA2,0.1588283760077101
38,ABCA3,0.23851793347013334
39,ABCA4,0.5093002203837216
40,ABCA5,0.39188464276279106
41,ABCA6,0.6384099100364556
42,ABCA7,0.4113924146753985
43,ABCA8,0.33319835256830904
44,ABCA9,0.3454807784489015
45,ABCB1,0.1433242508010716
46,ABCB10,0.3260880056723441
47,ABCB11,0.03800958314809882
48,ABCB4,0.08877566713252648
49,ABCB5,0.019812230429061908
50,ABCB6,0.40730750200300864
51,ABCB7,0.6091343966640796
52,ABCB8,0.19360445915622274
53,ABCB9,0.2053865059925925
54,ABCC1,0.15137431004366103
55,ABCC10,0.2500334735419981
56,ABCC11,0.17744489902230362
57,ABCC12,0.1665741539904185
58,ABCC13,-0.026073046494755052
59,ABCC2,0.039465908705208934
60,ABCC3,0.6401859655234442
61,ABCC4,0.4251170416456957
62,ABCC5,0.3205944333222979
63,ABCC6,0.42121130212684055
64,ABCC8,0.7440681662193424
65,ABCC9,0.16816641704515864
66,ABCD1,0.258092094243661
67,ABCD2,0.38122858455553715
68,ABCD3,0.3982821620734682
69,ABCD4,0.23630599843631528
70,ABCE1,0.4578587177271321
71,ABCF1,0.4464565340189236
72,ABCF2,0.5601767377148911
73,ABCF3,0.07407689559990875
74,ABCG1,0.626144530790706
75,ABCG2,0.4189873215150132
76,ABCG4,0.5216664801303242
77,ABCG5,0.6351791324956294
78,ABCG8,0.08878271116680053
79,ABHD1,0.4787008026225089
80,ABHD10,0.06218101113303703
81,ABHD11,0.3380525601080577
82,ABHD12,0.5085500904883672
83,ABHD12B,0.6696848020174556
84,ABHD13,0.38125379081538263
85,ABHD14A,0.14704285699572803
86,ABHD14B,0.146161860670079
87,ABHD15,0.24322736831134464
88,ABHD16A,0.20119340623907325
89,ABHD16B,0.19608238671900624
90,ABHD17A,0.4079745365441134
91,ABHD17B,0.24433220633843605
92,ABHD17C,0.5151936730899466
93,ABHD18,0.022921329871324718
94,ABHD2,0.28927930518372247
95,ABHD3,0.56066331051829
96,ABHD4,0.5467486680403493
97,ABHD5,0.29492003293075514
98,ABHD6,0.4533089751988973
99,ABHD8,0.549414972930215
100,ABI1,0.5187118697854816
101,ABI2,0.3568417238362276
102,ABI3,0.3590148620396851
103,ABI3BP,0.43513569649741207
104,ABL1,0.12322558517570274
105,ABL2,0.21707078884616374
106,ABLIM1,0.11317634102281846
107,ABLIM2,0.6550582139236073
108,ABLIM3,0.5789115757765183
109,ABO,-0.031915472533662156
110,ABR,0.4849660175345149
111,ABRA,0.05651896587019077
112,ABRACL,0.49194750590428055
113,ABRAXAS1,0.1845683053406732
114,ABRAXAS2,0.23787619967135407
115,ABT1,0.2671949812454356
116,ABTB1,0.6533552140884841
117,ABTB2,0.6630719486318946
118,ACAA1,0.14790134204493513
119,ACAA2,0.36012221284434354
120,ACACA,0.4023291352243111
121,ACACB,0.3480034135079054
122,ACAD10,0.21510853078890035
123,ACAD11,0.1791281513384396
124,ACAD8,0.43644234784058505
125,ACAD9,0.2626344117923566
126,ACADL,0.5636494359704893
127,ACADM,0.1608982794375484
128,ACADS,0.22979983106781185
129,ACADSB,0.3384670815845381
130,ACADVL,0.37697488292993125
131,ACAN,0.7586995821085181
132,ACAP1,0.13112910778886241
133,ACAP2,0.34753037486346083
134,ACAP3,0.4584551939900915
135,ACAT1,0.21375985786729298
136,ACAT2,0.48010406959428825
137,ACBD3,0.04610041514100646
138,ACBD4,0.06913335627109182
139,ACBD5,0.19334188452717035
