,genes,stability
0,A1BG,0.6621252865496157
1,A1BG-AS1,0.6377680599580803
2,A1CF,0.07884591876458359
3,A2M,0.16512800231492086
4,A2ML1,0.07391727226816584
5,A4GALT,0.10648428266953353
6,A4GNT,-0.04275573986997261
7,AAAS,0.28016856055946665
8,AACS,0.5963542459488066
9,AADAC,0.009229937568491942
10,AADACL4,0.035879824569176585
11,AADAT,0.1331474370314876
12,AAGAB,0.3265583962733043
13,AAK1,0.4226506417836909
14,AAMP,0.3501087920899822
15,AANAT,0.06947020981068093
16,AARS,0.5702067727977033
17,AARS2,0.4724488919062083
18,AASDH,0.03665639186501793
19,AASDHPPT,0.13466479543073395
20,AASS,0.36567161068243625
21,AATF,0.2943678443959618
22,AATK,0.26648966842674654
23,ABAT,0.37545070125822416
24,ABCA1,0.49785051674730973
25,ABCA10,0.1984856874317708
26,ABCA11P,0.10743697680983981
27,ABCA12,0.09551726544702058
28,ABCA13,0.4241060564052662
29,ABCA2,0.15678203912349073
30,ABCA3,0.4247728661979131
31,ABCA4,0.5035673902632353
32,ABCA5,0.3908708701521214
33,ABCA6,0.5700800465209475
34,ABCA7,0.4440949200479849
35,ABCA8,0.3296641530702307
36,ABCA9,0.3381430040617204
37,ABCB1,0.16306225165776408
38,ABCB10,0.45300531657349735
39,ABCB11,0.07248470479279263
40,ABCB4,0.05245742199321926
41,ABCB5,0.06259649792867293
42,ABCB6,0.2354859872218767
43,ABCB7,0.583479967290317
44,ABCB8,0.34972686960220367
45,ABCB9,0.2155069234934638
46,ABCC1,0.4559039888229064
47,ABCC10,0.21692248561043437
48,ABCC11,0.1759043115078627
49,ABCC12,0.8087381737394144
50,ABCC13,-0.02654597104025196
51,ABCC2,0.03851885887583713
52,ABCC3,0.6406950719386652
53,ABCC4,0.41808122398059294
54,ABCC5,0.5339311441891561
55,ABCC6,0.40171274070425306
56,ABCC8,0.7667669613460494
57,ABCC9,0.28645681823106206
58,ABCD1,0.2703461395111612
59,ABCD2,0.36135881431116595
60,ABCD3,0.39444555425536343
61,ABCD4,0.29930280364496287
62,ABCE1,0.11204977005448195
63,ABCF1,0.44692823603144627
64,ABCF2,0.490411567413512
65,ABCF3,0.2413015947004121
66,ABCG1,0.40551107048029217
67,ABCG2,0.3866214849174198
68,ABCG4,0.5697122167244653
69,ABCG5,0.6190389411848527
70,ABCG8,0.08717150991433029
71,ABHD1,0.4677034125402017
72,ABHD10,0.08585275647382234
73,ABHD11,0.3797198190272532
74,ABHD12,0.4055025572237148
75,ABHD12B,0.6745761182501635
76,ABHD13,0.27066250525052343
77,ABHD14A,0.1782727619218654
78,ABHD14B,0.13477354400961347
79,ABHD15,0.24407715724765539
80,ABHD16A,0.1966635466218553
81,ABHD16B,0.20720345523679132
82,ABHD2,0.37831838878255325
83,ABHD3,0.38877752218925554
84,ABHD4,0.5234525304710763
85,ABHD5,0.31052918759995146
86,ABHD6,0.47098833078981345
87,ABHD8,0.5876944798948477
88,ABI1,0.5314771880818928
89,ABI2,0.3147164354957806
90,ABI3,0.34106564096440967
91,ABI3BP,0.4375584251236909
92,ABL1,0.38772856365905073
93,ABL2,0.09097774520403315
94,ABLIM1,0.12742930434216226
95,ABLIM2,0.7165949568228808
96,ABLIM3,0.5571893915483751
97,ABO,-0.0323476083777978
98,ABR,0.5008472970638204
99,ABRA,0.023049203599556017
100,ABT1,0.2891582160881423
101,ABTB1,0.6826020804330898
102,ABTB2,0.6753595448183899
103,ACAA1,0.15720097705741684
104,ACAA2,0.3763270012660448
105,ACACA,0.23980371898485284
106,ACACB,0.36192632854134993
107,ACAD10,0.3250881342729575
108,ACAD11,0.1891602288816842
109,ACAD8,0.42750865806401084
110,ACAD9,0.2974958324096119
111,ACADL,0.5544231458187102
112,ACADM,0.13960620577990202
113,ACADS,0.2206636726448999
114,ACADSB,0.33855956249771246
115,ACADVL,0.3662405211020288
116,ACAN,0.745677797420999
117,ACAP1,0.14210922467352433
118,ACAP2,0.32739574115230996
119,ACAP3,0.30848733862518424
120,ACAT1,0.24942934183079304
121,ACAT2,0.5181626004221173
122,ACBD3,0.060435683041755194
123,ACBD4,0.22953086572743023
124,ACBD5,0.16724610397490383
125,ACBD6,0.3315330634036725
126,ACBD7,0.27305504649647994
127,ACCS,0.13198132769261234
128,ACCSL,0.01759964522233136
129,ACD,0.46667910147815156
130,ACE,0.3340621389438414
131,ACE2,0.2641234788261363
132,ACER1,0.053201000436692646
133,ACER2,0.08801205645637183
134,ACER3,0.1876901804642714
135,ACHE,0.5945443209662522
136,ACIN1,0.014613295842858228
137,ACLY,0.28734398877514405
138,ACMSD,0.07730805427253844
139,ACO1,0.5117091183097978
140,ACO2,0.5352341750289077
141,ACOT11,0.17497113214456064
142,ACOT12,0.3421988860575219
143,ACOT13,0.3368670421371836
144,ACOT2,0.5472966221200422
145,ACOT4,0.5344588787356666
146,ACOT6,0.0034278590189465124
147,ACOT7,0.1870532079280628
148,ACOT8,0.5276493460002551
149,ACOT9,0.015431182584934217
150,ACOX1,0.38572364475262816
