,genes,receptors,rho,pspin
0,GRIA1,AMPA,0.3781660449002201,0.31370196313701965
1,GRIA2,AMPA,0.20747306000051866,0.31370196313701965
2,GRIA3,AMPA,-0.0172197624335644,0.5777422257774223
3,GRIA4,AMPA,0.3009278871885041,0.31370196313701965
4,GRIN1,NMDA,-0.27635210973477625,0.7614238576142386
5,GRIN2A,NMDA,-0.14879212199876035,0.7547578575475786
6,GRIN2B,NMDA,0.2579620721843677,0.7547578575475786
7,GRIN2C,NMDA,0.13959710322355606,0.7547578575475786
8,GRIN2D,NMDA,-0.11268077553613987,0.7547578575475786
9,GRIN3A,NMDA,-0.18858147597146258,0.7547578575475786
10,GRIN3B,NMDA,0.2922344148919473,0.7547578575475786
11,GRIK1,kainate,0.4794784335870165,0.12348765123487651
12,GRIK2,kainate,0.47078496129045977,0.12348765123487651
13,GRIK3,kainate,0.458246299324272,0.12348765123487651
14,GRIK4,kainate,0.18807992949281507,0.3782621737826217
15,GRIK5,kainate,0.3091198130064134,0.21647835216478353
16,GABRA1,GABAa,0.35158408153190224,0.7044495550444956
17,GABRB2,GABAa,0.46225867115345215,0.5300469953004701
18,GABRG2,GABAa,0.23104574449695148,0.859347398593474
19,GABRR3,GABAa,0.11986960839675412,0.859347398593474
20,GABRD,GABAa,0.2211819970835505,0.859347398593474
21,GABRR2,GABAa,0.03878626101540719,0.8851003788510039
22,GABRR1,GABAa,-0.17303353513338987,0.8851003788510039
23,GABRG1,GABAa,-0.2056340562454778,0.8851003788510039
24,GABRA2,GABAa,-0.3402156946825588,0.8851003788510039
25,GABRA4,GABAa,0.37599267682608095,0.5300469953004701
26,GABRB1,GABAa,-0.3900359782282111,0.8851003788510039
27,GABRG3,GABAa,0.5777815434019279,0.4464553544645536
28,GABRA5,GABAa,-0.4341720683491917,0.8851003788510039
29,GABRB3,GABAa,-0.19978268066125687,0.8851003788510039
30,GABRP,GABAa,-0.11552287224847574,0.8851003788510039
31,GABRA6,GABAa,0.5130820476563994,0.5300469953004701
32,GABRE,GABAa,0.024241413134629495,0.859347398593474
33,GABRA3,GABAa,-0.5866421978580338,0.9692030796920308
34,GABRQ,GABAa,-0.44202962984800265,0.8851003788510039
35,GABRA1,GABAa/BZ,0.05299674457708655,0.895010498950105
36,GABRB2,GABAa/BZ,0.2903954111369065,0.895010498950105
37,GABRG2,GABAa/BZ,0.0705508713297493,0.895010498950105
38,GABRR3,GABAa/BZ,-0.12689125909781923,0.895010498950105
39,GABRD,GABAa/BZ,0.16199951260314469,0.895010498950105
40,GABRR2,GABAa/BZ,0.19092202620515092,0.895010498950105
41,GABRR1,GABAa/BZ,-0.1646744271559314,0.895010498950105
42,GABRG1,GABAa/BZ,-0.19627185531072433,0.895010498950105
43,GABRA2,GABAa/BZ,-0.3091198130064134,0.895010498950105
44,GABRA4,GABAa/BZ,0.24592495669682754,0.895010498950105
45,GABRB1,GABAa/BZ,-0.3596088251902624,0.895010498950105
46,GABRG3,GABAa/BZ,0.1818941895894958,0.895010498950105
47,GABRA5,GABAa/BZ,-0.4783081584701724,0.895010498950105
48,GABRB3,GABAa/BZ,-0.3642899256576391,0.895010498950105
49,GABRP,GABAa/BZ,-0.21148543182969873,0.895010498950105
50,GABRA6,GABAa/BZ,0.39538580733378453,0.895010498950105
51,GABRE,GABAa/BZ,-0.14695311824371948,0.895010498950105
52,GABRA3,GABAa/BZ,-0.45055591998501027,0.895010498950105
53,GABRQ,GABAa/BZ,-0.4072557406617755,0.895010498950105
54,GABBR1,GABAb,0.3161414637074785,0.18498150184981502
55,GABBR2,GABAb,0.18640810789732337,0.18498150184981502
56,CHRM1,m1,0.04396890796143143,0.41555844415558446
57,CHRM2,m2,-0.1183649689608116,0.6593340665933407
58,CHRM3,m3,0.3234974787276419,0.048595140485951406
59,CHRNA2,a4b2,-0.008526290137007616,0.7163583641635837
60,CHRNA3,a4b2,0.04647664035466897,0.7163583641635837
61,CHRNA4,a4b2,0.19393130507703596,0.7163583641635837
62,CHRNA5,a4b2,-0.07255705724433932,0.7163583641635837
63,CHRNA6,a4b2,0.5323079960045539,0.30191980801919804
64,CHRNA7,a4b2,-0.06620413518147089,0.7163583641635837
65,CHRNA9,a4b2,-0.25762770786526934,0.7933206679332067
66,CHRNA10,a4b2,-0.18707683653552004,0.7163583641635837
67,CHRNB2,a4b2,0.24809832477096672,0.7163583641635837
68,CHRNB3,a4b2,0.6597008015810206,0.08359164083591641
69,CHRNB4,a4b2,-0.021232134262744454,0.7163583641635837
70,ADRA1A,a1,0.13959710322355606,0.28877112288771123
71,ADRA2A,a2,0.4525621058996003,0.007899210078992101
72,HTR1A,5-HT1a,0.8003009977618717,0.00029997000299970003
73,HTR2A,5-HT2,-0.04831564410970982,0.5875412458754125
74,DRD1,D1,-0.10933713234515648,0.5916408359164084
