,genes,receptors,rho,pspin
0,GRIA1,AMPA,0.4012371829180055,0.4258240842582408
1,GRIA2,AMPA,0.1205383370349508,0.4258240842582408
2,GRIA3,AMPA,0.04029090045134972,0.45155484451554845
3,GRIA4,AMPA,0.14661875392462118,0.4258240842582408
4,GRIN1,NMDA,-0.2619744440135477,0.7481251874812519
5,GRIN2A,NMDA,0.13357854547978598,0.5106689331066894
6,GRIN2B,NMDA,0.22368972947678803,0.5106689331066894
7,GRIN2C,NMDA,0.24157822054854913,0.5106689331066894
8,GRIN2D,NMDA,0.0839254440936828,0.5106689331066894
9,GRIN3A,NMDA,-0.18306446470633997,0.7481251874812519
10,GRIN3B,NMDA,0.3015966158267008,0.5106689331066894
11,GRIK1,kainate,0.5219427021125054,0.11948805119488051
12,GRIK2,kainate,0.6147288006622942,0.05699430056994301
13,GRIK3,kainate,0.4393547152952159,0.11948805119488051
14,GRIK4,kainate,0.017052580274015232,0.5401459854014599
15,GRIK5,kainate,0.30978854164461006,0.22772722727727226
16,GABRA1,GABAa,0.2163337144566246,0.7627737226277372
17,GABRB2,GABAa,0.4577447528456245,0.7627737226277372
18,GABRG2,GABAa,0.35342308528694316,0.7627737226277372
19,GABRR3,GABAa,0.12772716989556507,0.7627737226277372
20,GABRD,GABAa,0.24676086749457335,0.7627737226277372
21,GABRR2,GABAa,0.3213241106535027,0.7627737226277372
22,GABRR1,GABAa,-0.1668477952300706,0.9371651070187099
23,GABRG1,GABAa,-0.23923767031486076,0.9371651070187099
24,GABRA2,GABAa,-0.4918499133936551,0.9643035696430357
25,GABRA4,GABAa,0.13692218867076936,0.778749397787494
26,GABRB1,GABAa,-0.36846947964636834,0.9371651070187099
27,GABRG3,GABAa,0.31346654915469174,0.7627737226277372
28,GABRA5,GABAa,-0.45005437350636274,0.9371651070187099
29,GABRB3,GABAa,-0.17570844968617658,0.9371651070187099
30,GABRP,GABAa,0.19259384780064262,0.7627737226277372
31,GABRA6,GABAa,0.37014130124186,0.7627737226277372
32,GABRE,GABAa,0.04647664035466897,0.7627737226277372
33,GABRA3,GABAa,-0.5809580044333621,0.9643035696430357
34,GABRQ,GABAa,-0.44202962984800265,0.9371651070187099
35,GABRA1,GABAa/BZ,0.08125052954089611,0.9088091190880911
36,GABRB2,GABAa/BZ,0.28655022146727555,0.9088091190880911
37,GABRG2,GABAa/BZ,0.12471789102368003,0.9088091190880911
38,GABRR3,GABAa/BZ,-0.1307364487674501,0.9088091190880911
39,GABRD,GABAa/BZ,0.1695227097828573,0.9088091190880911
40,GABRR2,GABAa/BZ,0.35208562801054977,0.9088091190880911
41,GABRR1,GABAa/BZ,-0.1554794083807271,0.9088091190880911
42,GABRG1,GABAa/BZ,-0.17470535672888154,0.9088091190880911
43,GABRA2,GABAa/BZ,-0.2925687792110456,0.9088091190880911
44,GABRA4,GABAa/BZ,0.15163421871109622,0.9088091190880911
45,GABRB1,GABAa/BZ,-0.34138596979940294,0.9088091190880911
46,GABRG3,GABAa/BZ,0.0700493248511018,0.9088091190880911
47,GABRA5,GABAa/BZ,-0.4918499133936551,0.9088091190880911
48,GABRB3,GABAa/BZ,-0.3442280665117388,0.9088091190880911
49,GABRP,GABAa/BZ,0.22970828722055814,0.9088091190880911
50,GABRA6,GABAa/BZ,0.16985707410195564,0.9088091190880911
51,GABRE,GABAa/BZ,-0.15781995861441547,0.9088091190880911
52,GABRA3,GABAa/BZ,-0.4498871913468136,0.9088091190880911
53,GABRQ,GABAa/BZ,-0.4072557406617755,0.9088091190880911
54,GABBR1,GABAb,0.30343561958174164,0.36126387361263873
55,GABBR2,GABAb,0.013374572763933517,0.36126387361263873
56,CHRM1,m1,-0.053331108896184885,0.5507449255074492
57,CHRM2,m2,0.4445373622412402,0.027797220277972202
58,CHRM3,m3,0.32600521112087943,0.046495350464953504
59,CHRNA2,a4b2,-0.005015464786475068,0.6975746869757468
60,CHRNA3,a4b2,0.04647664035466897,0.6975746869757468
61,CHRNA4,a4b2,0.17253198865474234,0.6975746869757468
62,CHRNA5,a4b2,0.08910809103970704,0.6975746869757468
63,CHRNA6,a4b2,0.5261222561012346,0.2128287171282872
64,CHRNA7,a4b2,-0.10666221779236977,0.6975746869757468
65,CHRNA9,a4b2,-0.25361533603608927,0.7824217578242175
66,CHRNA10,a4b2,-0.19342975859838846,0.7089891010898911
67,CHRNB2,a4b2,0.29089695761555395,0.4403226344032264
68,CHRNB3,a4b2,0.6597008015810206,0.08359164083591641
69,CHRNB4,a4b2,-0.1996154985017077,0.6975746869757468
70,ADRA1A,a1,0.2676586374382195,0.08409159084091591
71,ADRA2A,a2,0.4493856448681661,0.007499250074992501
72,HTR1A,5-HT1a,0.7971245367304375,0.00039996000399960006
73,HTR2A,5-HT2,-0.14996239711560455,0.7206279372062794
74,DRD1,D1,-0.08208644033864194,0.5629437056294371
