,genes,receptors,rho,pspin,ci-lower,ci-upper
0,GRIA1,AMPA,0.37709140327677676,0.8173849281738493,0.0,0.0
1,GRIA2,AMPA,0.14611931862721084,0.8173849281738493,0.0,0.0
2,GRIA3,AMPA,-0.02117162232040387,0.8586141385861414,0.0,0.0
3,GRIA4,AMPA,0.25030715268187376,0.8173849281738493,0.0,0.0
4,GRIN1,NMDA,-0.2667054946355397,0.8378162183781622,0.0,0.0
5,GRIN2A,NMDA,-0.16507711381895546,0.8378162183781622,0.0,0.0
6,GRIN2B,NMDA,0.2081575695157433,0.8378162183781622,0.0,0.0
7,GRIN2C,NMDA,0.11854886361174603,0.8378162183781622,0.0,0.0
8,GRIN2D,NMDA,-0.04882282117650828,0.8378162183781622,0.0,0.0
9,GRIN3A,NMDA,-0.30065417438156805,0.8378162183781622,0.0,0.0
10,GRIN3B,NMDA,0.2614679857028389,0.8378162183781622,0.0,0.0
11,GRIK1,kainate,0.5073071970458279,0.2246025397460254,0.0,0.0
12,GRIK2,kainate,0.5868151436826081,0.2246025397460254,0.0,0.0
13,GRIK3,kainate,0.4225183025868145,0.2246025397460254,0.0,0.0
14,GRIK4,kainate,0.04959954651176527,0.9752024797520248,0.0,0.0
15,GRIK5,kainate,0.4038728275698026,0.2246025397460254,0.0,0.0
16,GABRA1,GABAa,0.3161022937680139,0.8455272119846838,0.0,0.0
17,GABRB2,GABAa,0.4517638937667097,0.8455272119846838,0.0,0.0
18,GABRG2,GABAa,0.23980896584972405,0.8455272119846838,0.0,0.0
19,GABRR3,GABAa,0.0513024044988997,0.924996389249964,0.0,0.0
20,GABRD,GABAa,0.22672191747848203,0.8455272119846838,0.0,0.0
21,GABRR2,GABAa,0.077323402929483,0.9873012698730127,0.0,0.0
22,GABRR1,GABAa,-0.05360377932976476,0.8455272119846838,0.0,0.0
23,GABRG1,GABAa,-0.30840327264742834,0.8455272119846838,0.0,0.0
24,GABRA2,GABAa,-0.3992088617877596,0.8455272119846838,0.0,0.0
25,GABRA4,GABAa,0.3000041500001722,0.8455272119846838,0.0,0.0
26,GABRB1,GABAa,-0.5552102751372734,0.8455272119846838,0.0,0.0
27,GABRG3,GABAa,0.39689859901533703,0.8455272119846838,0.0,0.0
28,GABRA5,GABAa,-0.589281329811656,0.8455272119846838,0.0,0.0
29,GABRB3,GABAa,-0.2754873035520676,0.8455272119846838,0.0,0.0
30,GABRP,GABAa,-0.06775349374980547,0.8455272119846838,0.0,0.0
31,GABRA6,GABAa,0.6552329398102057,0.8455272119846838,0.0,0.0
32,GABRE,GABAa,-0.19709763660462312,0.8455272119846838,0.0,0.0
33,GABRA3,GABAa,-0.6889546266487737,0.8112188781121888,0.0,0.0
34,GABRQ,GABAa,-0.44785454687602944,0.8455272119846838,0.0,0.0
35,GABRA1,GABAa/BZ,0.13288004923918367,0.8141741381417414,0.0,0.0
36,GABRB2,GABAa/BZ,0.25835805908468457,0.8127387261273872,0.0,0.0
37,GABRG2,GABAa/BZ,0.1546320947063566,0.8141741381417414,0.0,0.0
38,GABRR3,GABAa/BZ,-0.1666175821380651,0.8127387261273872,0.0,0.0
39,GABRD,GABAa/BZ,0.22306995343138322,0.8127387261273872,0.0,0.0
40,GABRR2,GABAa/BZ,0.22080050322588024,0.8127387261273872,0.0,0.0
41,GABRR1,GABAa/BZ,-0.3146546552897843,0.8127387261273872,0.0,0.0
42,GABRG1,GABAa/BZ,-0.12611532274985107,0.894010598940106,0.0,0.0
43,GABRA2,GABAa/BZ,-0.30738212498811324,0.8127387261273872,0.0,0.0
44,GABRA4,GABAa/BZ,0.1512515370466067,0.8141741381417414,0.0,0.0
45,GABRB1,GABAa/BZ,-0.29313483544276653,0.8127387261273872,0.0,0.0
46,GABRG3,GABAa/BZ,0.1810157546078092,0.8127387261273872,0.0,0.0
47,GABRA5,GABAa/BZ,-0.3935731598934249,0.8127387261273872,0.0,0.0
48,GABRB3,GABAa/BZ,-0.30897870035547875,0.8127387261273872,0.0,0.0
49,GABRP,GABAa/BZ,-0.24910084596720816,0.8127387261273872,0.0,0.0
50,GABRA6,GABAa/BZ,0.32412955073213257,0.8127387261273872,0.0,0.0
51,GABRE,GABAa/BZ,-0.26383614401634736,0.8127387261273872,0.0,0.0
52,GABRA3,GABAa/BZ,-0.37904846615279864,0.8127387261273872,0.0,0.0
53,GABRQ,GABAa/BZ,-0.3316206341119319,0.8127387261273872,0.0,0.0
54,GABBR1,GABAb,0.27707227881153207,0.5309469053094691,0.0,0.0
55,GABBR2,GABAb,0.08467717874382792,0.5309469053094691,0.0,0.0
56,CHRM1,m1,-0.042642755158438087,0.9571042895710429,0.0,0.0
57,CHRM2,m2,-0.16942308392065777,0.5049495050494951,0.0,0.0
58,CHRM3,m3,0.23032244983489225,0.22407759224077592,0.0,0.0
59,CHRNA2,a4b2,-0.05220924449536286,0.909009099090091,0.0,0.0
60,CHRNA3,a4b2,-0.044005206171215866,0.909009099090091,0.0,0.0
61,CHRNA4,a4b2,0.19221068278188247,0.909009099090091,0.0,0.0
62,CHRNA5,a4b2,-0.236849609725661,0.909009099090091,0.0,0.0
63,CHRNA6,a4b2,0.4886600998367148,0.6439856014398561,0.0,0.0
64,CHRNA7,a4b2,-0.12137566706777927,0.909009099090091,0.0,0.0
65,CHRNA9,a4b2,-0.13287950773049867,0.909009099090091,0.0,0.0
66,CHRNA10,a4b2,-0.12760639920263034,0.909009099090091,0.0,0.0
67,CHRNB2,a4b2,0.09035907542607796,0.909009099090091,0.0,0.0
68,CHRNB3,a4b2,0.5679515594773986,0.6439856014398561,0.0,0.0
69,CHRNB4,a4b2,-0.004722390090867723,0.909009099090091,0.0,0.0
70,CHRNA1,a1,-0.2608529010611427,0.1877812218778122,0.0,0.0
71,CHRNA2,a2,0.2936091666461832,0.2343765623437656,0.0,0.0
72,HTR1A,5-HT1a,0.8180171412341215,0.0032996700329967,0.0,0.0
73,HTR2A,5-HT2,-0.045909036635252566,0.8567143285671432,0.0,0.0
74,DRD1,D1,-0.045677245600425916,0.9223077692230777,0.0,0.0
